new_cases,new_deaths
27,0
0,0
0,0
17,0
0,0
15,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
4,0
17,0
136,1
19,0
151,3
140,11
97,0
259,9
441,15
665,15
787,25
1753,25
1466,26
1740,38
1980,43
2095,46
2590,45
2812,57
3237,65
3872,66
3727,72
3160,73
3418,86
2607,89
2974,97
2490,108
2028,97
15141,254
4156,13
2538,143
2007,142
2052,105
1890,98
1750,139
394,112
891,118
826,109
647,98
218,150
515,70
410,52
439,29
329,44
428,47
574,35
205,42
127,32
119,37
117,31
170,30
101,28
46,27
45,23
20,17
29,22
24,11
22,7
19,15
22,9
25,13
43,9
23,16
44,8
99,4
52,6
65,6
138,9
69,7
78,4
102,6
94,5
119,3
113,5
98,2
84,3
